15:34:06 | INFO     | unificador | 📁 Log salvo em: C:\Projetos\Projeto EGS\EGS_Suite\apps\logs\unificador_20251205_153406.log
15:34:06 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1010178044
15:34:06 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:06 | INFO     | unificador |    Preview: ...
15:34:06 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1010178044_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:06 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10102327
15:34:06 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:06 | INFO     | unificador |    Preview: ...
15:34:06 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 10102327_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:06 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1010356558
15:34:06 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:06 | INFO     | unificador |    Preview: ...
15:34:06 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1010356558_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:06 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1010814895
15:34:06 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:06 | INFO     | unificador |    Preview: ...
15:34:06 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1010814895_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:06 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 101090745
15:34:06 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:06 | INFO     | unificador |    Preview: ...
15:34:06 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 101090745_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:06 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1011172939
15:34:06 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:06 | INFO     | unificador |    Preview: ...
15:34:06 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1011172939_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:06 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1011309887
15:34:06 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:06 | INFO     | unificador |    Preview: ...
15:34:06 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1011309887_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:06 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 101139716
15:34:06 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:06 | INFO     | unificador |    Preview: ...
15:34:06 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 101139716_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
